#form factor calculations
#
# 200 bins for density calculation at every time step
# form factor averged over time steps 
#
# 21.9.2021 by R.Nencini
# POPC 40 % cholesterol
# simulations from http://doi.org/10.5281/zenodo.61992
#
# q ;  FF(q) ; error of mean over time steps
  0.5150  1.11642918 -5.95669948
  0.5160  0.17825063 -29.03625207
  0.5170  0.82975668 4.86077430
  0.5180  1.76504946 5.14372222
  0.5190  2.68530340 5.25268980
  0.5200  3.58789722 5.31559888
  0.5210  4.47213539 5.35949284
  0.5220  5.33761792 5.39355760
  0.5230  6.18403406 5.42177502
  0.5240  7.01111338 5.44615572
  0.5250  7.81860997 5.46782885
  0.5260  8.60629632 5.48748101
  0.5270  9.37396056 5.50555647
  0.5280  10.12140513 5.52235760
  0.5290  10.84844604 5.53809888
  0.5300  11.55491250 5.55293775
  0.5310  12.24064665 5.56699309
  0.5320  12.90550341 5.58035670
  0.5330  13.54935039 5.59310069
  0.5340  14.17206779 5.60528240
  0.5350  14.77354835 5.61694771
  0.5360  15.35369725 5.62813347
  0.5370  15.91243213 5.63886911
  0.5380  16.44968293 5.64917798
  0.5390  16.96539193 5.65907827
  0.5400  17.45951361 5.66858379
  0.5410  17.93201462 5.67770464
  0.5420  18.38287371 5.68644775
  0.5430  18.81208162 5.69481735
  0.5440  19.21964103 5.70281542
  0.5450  19.60556646 5.71044215
  0.5460  19.96988416 5.71769626
  0.5470  20.31263203 5.72457544
  0.5480  20.63385951 5.73107670
  0.5490  20.93362746 5.73719668
  0.5500  21.21200805 5.74293205
  0.5510  21.46908463 5.74827980
  0.5520  21.70495160 5.75323752
  0.5530  21.91971430 5.75780373
  0.5540  22.11348884 5.76197813
  0.5550  22.28640198 5.76576182
  0.5560  22.43859094 5.76915754
  0.5570  22.57020330 5.77216982
  0.5580  22.68139681 5.77480518
  0.5590  22.77233921 5.77707220
  0.5600  22.84320811 5.77898163
  0.5610  22.89419074 5.78054642
  0.5620  22.92548386 5.78178175
  0.5630  22.93729351 5.78270498
  0.5640  22.92983482 5.78333560
  0.5650  22.90333190 5.78369511
  0.5660  22.85801752 5.78380693
