#Z                    :CA      sd(:CA)
     49.3750       0.0009       0.0010
     49.6250       0.0008       0.0009
     49.8750       0.0008       0.0009
     50.1250       0.0008       0.0009
     50.3750       0.0007       0.0009
     50.6250       0.0007       0.0009
     50.8750       0.0007       0.0009
     51.1250       0.0007       0.0009
     51.3750       0.0006       0.0008
     51.6250       0.0007       0.0009
     51.8750       0.0006       0.0008
     52.1250       0.0006       0.0008
     52.3750       0.0006       0.0008
     52.6250       0.0006       0.0008
     52.8750       0.0006       0.0008
     53.1250       0.0006       0.0008
     53.3750       0.0006       0.0008
     53.6250       0.0005       0.0008
     53.8750       0.0006       0.0008
     54.1250       0.0005       0.0007
     54.3750       0.0004       0.0007
     54.6250       0.0004       0.0007
     54.8750       0.0004       0.0007
     55.1250       0.0004       0.0007
     55.3750       0.0004       0.0006
     55.6250       0.0003       0.0006
     55.8750       0.0003       0.0006
     56.1250       0.0003       0.0006
     56.3750       0.0003       0.0005
     56.6250       0.0002       0.0005
     56.8750       0.0002       0.0005
     57.1250       0.0002       0.0005
     57.3750       0.0002       0.0005
     57.6250       0.0003       0.0005
     57.8750       0.0003       0.0006
     58.1250       0.0003       0.0006
     58.3750       0.0004       0.0007
     58.6250       0.0005       0.0008
     58.8750       0.0006       0.0008
     59.1250       0.0008       0.0009
     59.3750       0.0010       0.0010
     59.6250       0.0011       0.0011
     59.8750       0.0013       0.0012
     60.1250       0.0015       0.0013
     60.3750       0.0018       0.0014
     60.6250       0.0020       0.0015
     60.8750       0.0024       0.0016
     61.1250       0.0027       0.0017
     61.3750       0.0029       0.0018
     61.6250       0.0032       0.0018
     61.8750       0.0036       0.0019
     62.1250       0.0039       0.0020
     62.3750       0.0043       0.0021
     62.6250       0.0045       0.0022
     62.8750       0.0047       0.0022
     63.1250       0.0049       0.0023
     63.3750       0.0048       0.0023
     63.6250       0.0049       0.0023
     63.8750       0.0049       0.0023
     64.1250       0.0046       0.0022
     64.3750       0.0045       0.0022
     64.6250       0.0041       0.0021
     64.8750       0.0038       0.0020
     65.1250       0.0034       0.0019
     65.3750       0.0029       0.0018
     65.6250       0.0026       0.0017
     65.8750       0.0022       0.0015
     66.1250       0.0020       0.0015
     66.3750       0.0016       0.0013
     66.6250       0.0015       0.0013
     66.8750       0.0012       0.0012
     67.1250       0.0011       0.0011
     67.3750       0.0009       0.0010
     67.6250       0.0008       0.0009
     67.8750       0.0007       0.0009
     68.1250       0.0006       0.0008
     68.3750       0.0004       0.0007
     68.6250       0.0003       0.0006
     68.8750       0.0003       0.0006
     69.1250       0.0002       0.0005
     69.3750       0.0001       0.0004
     69.6250       0.0001       0.0003
     69.8750       0.0001       0.0002
     70.1250       0.0000       0.0002
     70.3750       0.0000       0.0001
     70.6250       0.0000       0.0001
     70.8750       0.0000       0.0001
     71.1250       0.0000       0.0001
     71.3750       0.0000       0.0000
     71.6250       0.0000       0.0000
     71.8750       0.0000       0.0000
     72.1250       0.0000       0.0000
