#form factor calculations
#
# 200 bins for density calculation at every time step
# form factor averged over time steps 
#
# 21.9.2021 by R.Nencini
# POPC 10 % cholesterol
# simulations from  http://doi.org/10.5281/zenodo.159759
#
# q ;  FF(q) ; error of mean over time steps
  0.3610  45.40329601 3.50305701
  0.3620  43.96280056 3.48019232
  0.3630  42.50778758 3.45807323
  0.3640  41.03900877 3.43670827
  0.3650  39.55721634 3.41610502
  0.3660  38.06316265 3.39627050
  0.3670  36.55759991 3.37721162
  0.3680  35.04127989 3.35893564
  0.3690  33.51495354 3.34145074
  0.3700  31.97937075 3.32476666
  0.3710  30.43528006 3.30889555
  0.3720  28.88342836 3.29385302
  0.3730  27.32456067 3.27965947
  0.3740  25.75941993 3.26634195
  0.3750  24.18874679 3.25393667
  0.3760  22.61327959 3.24249252
  0.3770  21.03375427 3.23207622
  0.3780  19.45090455 3.22278003
  0.3790  17.86546237 3.21473349
  0.3800  16.27815863 3.20812236
  0.3810  14.68972476 3.20322001
  0.3820  13.10089554 3.20044238
  0.3830  11.51241455 3.20045012
  0.3840  9.92504504 3.20435267
  0.3850  8.33959349 3.21415728
  0.3860  6.75696637 3.23389037
  0.3870  5.17833061 3.27295258
  0.3880  3.60569257 3.35943544
  0.3890  2.04512342 3.63057434
  0.3900  0.56528492 10.74463713
  0.3910  1.16784228 -2.54796606
  0.3920  2.69430974 -2.78015043
  0.3930  4.23580065 -2.86336908
  0.3940  5.77412722 -2.90379770
  0.3950  7.30590124 -2.92678774
  0.3960  8.82967410 -2.94112796
  0.3970  10.34450356 -2.95064491
  0.3980  11.84963210 -2.95726508
  0.3990  13.34438647 -2.96206067
  0.4000  14.82813922 -2.96567361
  0.4010  16.30029197 -2.96851004
  0.4020  17.76026725 -2.97083810
  0.4030  19.20750432 -2.97284086
  0.4040  20.64145685 -2.97464664
  0.4050  22.06159165 -2.97634725
  0.4060  23.46738792 -2.97800947
  0.4070  24.85833683 -2.97968238
  0.4080  26.23394128 -2.98140239
  0.4090  27.59371580 -2.98319658
