#Experimental scattering data measured and shared by Georg Pabst and Peter Heftberger originally at
#http://nmrlipids.blogspot.com/p/about.html
#https://drive.google.com/folderview?id=0BypC9VEx1ib_flRzLTlsVFE1VG9PTjhCMVdROWFrVXpQb2Z3eXlsZXhsaUJSR2RucmNkenc&usp=sharing
#q[1/A]     |F(q)|[e/A^2]
      0.6281800            0.2677379
      0.6291970            0.2718233
      0.6302130            0.2759165
      0.6312290            0.2800191
      0.6322450            0.2841283
      0.6332614            0.2882428
      0.6342781            0.2923601
      0.6352940            0.2964724
      0.6363100            0.3005814
      0.6373260            0.3046839
      0.6383430            0.3087815
      0.6393590            0.3128637
      0.6403750            0.3169322
      0.6413910            0.3209843
      0.6424075            0.3250200
      0.6434240            0.3290345
      0.6444400            0.3330243
      0.6454560            0.3369890
      0.6464725            0.3409278
      0.6474890            0.3448372
      0.6485050            0.3487126
      0.6495210            0.3525547
      0.6505370            0.3563610
      0.6515540            0.3601333
      0.6525700            0.3638625
      0.6535860            0.3675499
      0.6546021            0.3711950
      0.6556185            0.3747957
      0.6566350            0.3783504
      0.6576509            0.3818543
      0.6586670            0.3853095
      0.6596830            0.3887125
      0.6607000            0.3920659
      0.6617160            0.3953616
      0.6627320            0.3986016
      0.6637480            0.4017843
      0.6647645            0.4049098
      0.6657810            0.4079759
      0.6667970            0.4109794
      0.6678130            0.4139210
      0.6688290            0.4167992
      0.6698461            0.4196166
      0.6708620            0.4223654
      0.6718780            0.4250482
      0.6728940            0.4276640
      0.6739110            0.4302145
      0.6749270            0.4326942
      0.6759430            0.4351043
      0.6769590            0.4374445
      0.6779755            0.4397150
      0.6789920            0.4419145
      0.6800080            0.4440410
      0.6810240            0.4460955
      0.6820400            0.4480771
      0.6830570            0.4499879
      0.6840730            0.4518231
      0.6850890            0.4535848
      0.6861050            0.4552728
      0.6871215            0.4568875
      0.6881380            0.4584280
      0.6891540            0.4598933
      0.6901700            0.4612843
      0.6911860            0.4626012
      0.6922030            0.4638449
      0.6932189            0.4650131
      0.6942350            0.4661075
      0.6952510            0.4671279
      0.6962675            0.4680752
      0.6972840            0.4689490
      0.6983000            0.4697492
      0.6993160            0.4704768
